columns,valid_count,unique_count
unnamed:_0,3101969,3101969
date_received,3101969,4011
product,3101969,18
sub_product,2866675,76
issue,3101969,165
sub_issue,2418614,221
consumer_complaint_narrative,1113992,973058
company_public_response,1348784,11
company,3101969,6572
state,3061948,63
zip_code,3061429,34445
tags,351420,3
consumer_consent_provided,2279856,4
submitted_via,3101969,7
date_sent_to_company,3101969,3960
company_response_to_consumer,3101965,8
timely_response,3101969,2
consumer_disputed,768443,2
complaint_id,3101969,3101969
